,Cargo Name,Cargo ID,Cargo Weight,Transport Distance,Hour,Minutes,Ferry?,Ferry Length,Ferry Cost,Origin City,Origin City ID,Origin Country,Origin Company,Origin Company ID,Destination City,Destination City ID,Destination Country,Destiantion Company,Destination Company ID,Transport Type,Trailer Type,High Value Cargo,Heavy Cargo,Fragile Cargo,ADR Cargo,ADR Class & Type,Special Transport,Price Per KM,Price
285,Graphite Grease,149,16,799,11,49,No,0,0,Ostarva,70,Czech Republic,NBFC,,Hanover,,Germany,Tradeaux,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.14,23083
340,Wheat,165,17,1054,16,19,No,0,0,Ostarva,70,Czech Republic,transinet,,Metz,,France,Posped,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,18.22,19805
164,Pressure Tank,1,12,702,10,2,No,0,0,Calais,14,France,NBFC,,Frankfurt,,Germany,Tradeaux,,Normal,Flatbeds,Yes,No,No,No,Nil,No,45.08,32246
524,Forklifts,3,11,325,6,3,Yes,49,384,Calais,14,France,NBFC,,Birmingham,,England,Treeet,,Normal,Low bed,Yes,No,No,No,Nil,No,36.23,12759
162,Furniture,9,16,846,12,17,No,0,0,Calais,14,France,LKW,,Hamburg,,Germany,Transinet,,Normal,Curtainsiders,No,No,Yes,No,Nil,No,33.41,32313
250,Fireworks,28,9,544,7,50,No,0,0,Calais,14,France,LKW,,Duisburg,,Germany,LKW,,Very Urgent,Curtainsiders,No,No,Yes,Yes,Class 1- Explosives,No,45.63,25420
498,Apples,51,20,455,6,22,No,0,0,Calais,14,France,Stokes,,Amsterdam,,Netherlands,Kaarfor,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.51,13574
363,Diesel,70,25,358,4,57,No,0,0,Calais,14,France,NBFC,,Liege,,Belgium,Treeet,,Normal,Tank,No,Yes,No,Yes,Class 3- Flammable Liquids,No,51.67,19099
93,Natural Rubber,74,21,1028,14,2,No,0,0,Calais,14,France,Stokes,,Milan,,Italy,Spinelli,,Urgent,Curtainsiders,No,No,No,No,Nil,No,38.09,39754
435,Sodium Hydroxide,78,18,409,7,24,Yes,49,384,Calais,14,France,NBFC,,Grimsby,,England,WGCC,,Very Urgent,Tank,No,No,No,Yes,Class 8- Corrosive substances,No,36.56,15938
512,Rice,109,22,373,5,13,No,0,0,Calais,14,France,Stokes,,Rotterdam,,Netherlands,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,33.76,13192
579,Wheel Loader,127,15,240,5,4,Yes,49,384,Calais,14,France,LKW,,Felixstowe,,England,Tradeaux,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,41.76,11007
276,Plant Substrate,144,18,767,12,1,No,0,0,Calais,14,France,LKW,,Edinburgh,,England,Kaarfor,,Urgent,Curtainsiders,No,No,No,No,Nil,No,29.81,23847
508,Sausages,197,17,430,6,10,No,0,0,Calais,14,France,LKW,,Metz,,France,Euro Goodies,,Normal,Curtainsiders,No,No,No,No,Nil,No,29.46,13268
199,Pressure Tank,1,12,579,8,41,No,0,0,Innsbruck,40,Austria,Stein Brunch,,Brno,,Czech Republic,Sand Builders,,Urgent,Low bed,Yes,No,No,No,Nil,No,49.25,29116
373,Pressure Tank,1,12,354,5,31,No,0,0,Innsbruck,40,Austria,Trameri,,Nurmeberg,,Germany,Sand Builders,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,50.87,18606
218,Forklifts,3,11,699,10,23,No,0,0,Innsbruck,40,Austria,Trameri,,Berlin ,,Germany,NBFC,,Normal,Low bed,Yes,No,No,No,Nil,No,38.2,27304
275,Rock Bucket Volvo SPN PT SEG,40,3,674,9,28,No,0,0,Innsbruck,40,Austria,Stein Brunch,,Metz,,France,Treeet,,Urgent,Low bed,Yes,No,No,No,Nil,No,34.52,23864
228,Used Packaging,63,20,1040,15,20,No,0,0,Innsbruck,40,Austria,Trameri,,Warsaw,,Poland,Posped,,Normal,Curtainsiders,No,No,No,No,Nil,No,25.17,26776
83,Oranges,67,20,1309,18,42,Yes,60,300,Innsbruck,40,Austria,Euro Goodies,,Cambridge,,England,Kaarfor,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.99,41467
525,Medical Equipments,83,5,273,4,30,No,0,0,Innsbruck,40,Austria,RTLOG,,Zurich,,Switzerland,Stokes,,Normal,Refrigerated,Yes,No,Yes,No,Nil,No,44.45,12736
203,Canned Tuna,126,18,842,12,23,No,0,0,Innsbruck,40,Austria,RTLOG,,Duisburg,,Germany,LKW,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,33.5,28809
468,Milk,160,20,481,7,0,No,0,0,Innsbruck,40,Austria,Euro Goodies,,Vienna,,Austria,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,29.84,14952
453,Wheat,165,17,837,12,23,No,0,0,Innsbruck,40,Austria,Euro Goodies,,Katowice,,Poland,Euro Goodies,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,17.47,15445
347,Fresh Fish,168,18,556,8,14,No,0,0,Innsbruck,40,Austria,Euro Goodies,,Frankfurt,,Germany,Kaarfor,,Urgent,Refrigerated,No,No,No,No,Nil,No,34.3,19673
351,Rye,169,18,1040,15,19,No,0,0,Innsbruck,40,Austria,Euro Goodies,,Warsaw,,Poland,Posped,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,18.22,19551
297,Pressure Tank,1,12,418,5,39,No,0,0,Liege,49,Belgium,Stokes,,Strasbourg,,France,WGCC,,Very Urgent,Flatbeds,Yes,No,No,No,Nil,No,50.87,21863
476,Chicken Meat,22,17,521,7,1,No,0,0,Liege,49,Belgium,Stokes,,Dijon,,France,Stokes,,Normal,Refrigerated,No,No,No,No,Nil,No,27,14667
61,Flour,49,20,1441,20,26,No,0,0,Liege,49,Belgium,Euro Acers,,Kosice,,Slovakia,LKW,,Normal,Curtainsiders,No,No,No,No,Nil,No,31.25,45632
391,Floor Pannels,59,19,703,10,29,No,0,0,Liege,49,Belgium,ITCC,,Rostock,,Germany,Tradeaux,,Normal,Low bed,No,No,No,No,Nil,No,24.25,17649
174,Wooden Beams,115,22,999,14,38,No,0,0,Liege,49,Belgium,Treeet,,Garz,,Austria,RTLOG,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.76,31326
358,Lumber,118,17,842,12,52,No,0,0,Liege,49,Belgium,Treeet,,Turin,,Italy,Euro Acers,,Normal,Flatbeds,No,No,No,No,Nil,No,22.21,19298
361,Metal Beams,167,24,658,9,50,No,0,0,Liege,49,Belgium,ITCC,,kiel,,Germany,Stokes,,Normal,Flatbeds,No,No,No,No,Nil,No,28.2,19157
440,Almond,173,17,514,6,53,No,0,0,Liege,49,Belgium,Euro Goodies,,Dijon,,France,Euro Goodies,,Urgent,Curtainsiders,No,No,No,No,Nil,No,29.62,15826
676,Wood Shavings,201,4,858,12,49,No,0,0,Liege,49,Belgium,Treeet,,Poznan,,Poland,Stokes,,Normal,Bulk Carriers,No,No,No,No,Nil,No,7.82,7313
1,Post Packages,2,11,2029,28,49,Yes,60,300,Carlisle,18,England,Posped,,Katowice,,Poland,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,45.61,93437
535,Roof Tiles,64,20,325,15,51,Yes,370,995,Carlisle,18,England,Trameri,,Rotterdam,,Netherlands,Sand Builders,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,32.93,12297
550,Pork,98,18,323,15,46,Yes,370,995,Carlisle,18,England,Euro Acers,,Rotterdam,,Netherlands,Posped,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,31.17,11663
193,Plastic Pipes,123,12,1360,19,58,Yes,60,300,Carlisle,18,England,Trameri,,Stuttgart,,Germany,Stein Brunch,,Urgent,Flatbeds,No,No,No,No,Nil,No,21.13,29643
663,Plastic Flim Rolls,124,11,326,15,53,Yes,370,995,Carlisle,18,England,Trameri,,Rotterdam,,Netherlands,Transinet,,Normal,Container Chassis,No,No,No,No,Nil,No,18.65,7675
357,Lamb Stomachs,170,13,580,19,30,Yes,60,300,Carlisle,18,England,Posped,,Groningen,,Netherlands,Sell Plan,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.53,19304
552,Post Packages,2,11,328,5,16,No,0,0,Kassel,41,Germany,Tradeaux,,Hamburg,,Germany,LKW,,Normal,Curtainsiders,No,No,No,No,Nil,No,33.63,11631
371,Shock Absorbers,12,16,517,8,25,No,0,0,Kassel,41,Germany,Tradeaux,,Brussels,,Belgium,Transinet,,Normal,Curtainsiders,No,No,No,No,Nil,No,35,18697
691,Apples,51,18,225,4,12,No,0,0,Kassel,41,Germany,Tradeaux,,Dusseldorf,,Germany,Stokes,,Urgent,Container Chassis,No,No,No,No,Nil,No,27.22,6725
730,Wood Bark,214,6,404,6,18,No,0,0,Kassel,41,Germany,Tradeaux,,Berlin ,,Germany,Euro Acers,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,8.19,3909
12,Forklifts,3,11,1572,22,42,Yes,60,300,Bratislava,8,Slovakia,BCP,,Southampton,,England,Transinet,,Normal,Low bed,Yes,No,No,No,Nil,No,44.15,65588
57,Forklifts,3,11,1005,14,30,No,0,0,Bratislava,8,Slovakia,WGCC,,Dusseldorf,,Germany,Stokes,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,45.08,45903
5,Potassium,6,17,1540,22,24,Yes,60,300,Bratislava,8,Slovakia,WGCC,,London,,England,NBFC,,Urgent,Tank,No,No,Yes,Yes,Class 4- Flammable Solids,No,50.05,77981
17,Nitrocellulose,15,13,1290,18,28,No,0,0,Bratislava,8,Slovakia,WGCC,,Rotterdam,,Netherlands,WGCC,,Very Urgent,Flatbeds,No,No,Yes,Yes,Class 4- Flammable Solids,No,46.94,61147
556,Liver Paste,39,17,340,5,0,No,0,0,Bratislava,8,Slovakia,Posped,,klagenfurt,,Austria,Sell Plan,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,32.27,11571
48,Tractors,41,11,1048,14,58,No,0,0,Bratislava,8,Slovakia,Treeet,,Bern,,Switzerland,Euro Acers,,Normal,Low bed,No,No,No,No,Nil,No,44.64,47378
69,Dryers,56,13,962,14,0,No,0,0,Bratislava,8,Slovakia,Posped,,Bern,,Switzerland,Kaarfor,,Very Urgent,Curtainsiders,No,No,Yes,No,Nil,No,44.64,43547
412,Sawdust Pannels,91,21,451,6,22,No,0,0,Bratislava,8,Slovakia,Treeet,,Szeged,,Hungary,LKW,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,36.13,16893
527,Mobile Crane - UTM SD-833,113,36,284,4,5,No,0,0,Bratislava,8,Slovakia,Treeet,,Katowice,,Poland,Stokes,,Normal,Low bed,Yes,Yes,No,No,Nil,No,42.38,12637
422,Industrial Condenser,119,60,249,3,36,No,0,0,Bratislava,8,Slovakia,Government,,Garz,,Austria,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,63,16310
423,Massive Tech Part,156,44,249,3,36,No,0,0,Bratislava,8,Slovakia,Government,,Garz,,Austria,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,63,16310
669,Sodium  ,219,7,387,5,35,No,0,0,Bratislava,8,Slovakia,WGCC,,Salzburg,,Austria,RTLOG,,Normal,Tank,No,No,Yes,Yes,Class 4- Flammable Solids,No,17.94,7542
14,Forklifts,3,11,1436,21,32,No,0,0,Lille,50,France,Tradeaux,,Lublin,,Poland,Posped,,Urgent,Low bed,Yes,No,No,No,Nil,No,43.7,63356
63,Peas,8,18,1308,18,53,No,0,0,Lille,50,France,Euro Acers,,Krakow,,Poland,Tradeaux,,Urgent,Curtainsiders,No,No,No,No,Nil,No,34.24,45392
581,Fuel Tanker,27,9,268,4,26,Yes,60,300,Lille,50,France,Trameri,,London,,England,Posped,,Very Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,37.59,10973
716,Roofing Felt,52,19,121,3,27,Yes,49,384,Lille,50,France,Trameri,,Dover,,England,LKW,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,32.07,4865
82,Airmail,66,10,1007,13,57,No,0,0,Lille,50,France,Tradeaux,,Milan,,Italy,ACI,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,40.94,41827
683,Plastic Flim Rolls,124,11,306,4,49,No,0,0,Lille,50,France,Trameri,,Amsterdam,,Netherlands,LKW,,Urgent,Container Chassis,No,No,No,No,Nil,No,20.82,6970
446,Rye,169,21,757,11,6,No,0,0,Lille,50,France,Euro Goodies,,Nurmeberg,,Germany,Stokes,,Urgent,Silo,No,No,No,No,Nil,No,19.71,15518
16,Forklifts,3,11,1346,18,25,Yes,60,300,Zurich,97,Switzerland,Treeet,,Manchester,,England,LKW,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,46.94,62895
298,Cars,10,7,485,7,22,No,0,0,Zurich,97,Switzerland,Stokes,,Salzburg,,Austria,RTLOG,,Normal,Flatbeds,Yes,No,Yes,No,Nil,No,43.55,21723
425,Articulated Hauler Volvo A25G,16,25,381,5,49,No,0,0,Zurich,97,Switzerland,Stokes,,Frankfurt,,Germany,Tradeaux,,Urgent,Low bed,Yes,Yes,No,No,Nil,No,40.94,16199
53,Crawl Tractor,23,13,1142,16,34,No,0,0,Zurich,97,Switzerland,Treeet,,Szeged,,Hungary,Euro Acers,,Normal,Flatbeds,Yes,No,No,No,Nil,No,40.17,46470
596,Carrots,77,7,727,10,47,No,0,0,Zurich,97,Switzerland,Posped,,Garz,,Austria,LKW,,Normal,Container Chassis,No,No,No,No,Nil,No,13.32,10285
399,Lumber,118,17,759,11,10,No,0,0,Zurich,97,Switzerland,Treeet,,Dresden,,Germany,Euro Acers,,Normal,Flatbeds,No,No,No,No,Nil,No,22.2,17453
336,Coconut Milk,164,21,740,10,56,No,0,0,Zurich,97,Switzerland,Posped,,Vienna,,Austria,Euro Goodies,,Normal,Curtainsiders,No,No,No,No,Nil,No,26.19,19979
631,Wood Bark,214,6,956,13,54,No,0,0,Zurich,97,Switzerland,Treeet,,Szczecin,,Poland,Transinet,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,8.65,8873
665,Canned Pork,217,21,250,3,41,No,0,0,Zurich,97,Switzerland,Posped,,Geneva,,Switzerland,Tradeaux,,Urgent,Curtainsiders,No,No,No,No,Nil,No,28.16,7640
667,Polystyrene Boxes,218,3,250,3,40,No,0,0,Zurich,97,Switzerland,Stokes,,Geneva,,Switzerland,Tradeaux,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,28.08,7621
18,Forklifts,3,11,1437,19,28,Yes,60,300,Geneva,34,Switzerland,Treeet,,Carlisle,,England,Trameri,,Normal,Low bed,Yes,No,No,No,Nil,No,40.17,58620
213,Radiators,20,9,678,9,26,No,0,0,Geneva,34,Switzerland,Posped,,Liege,,Belgium,Stokes,,Urgent,Curtainsiders,No,No,No,No,Nil,No,40.27,27902
92,Crawl Tractor,23,13,874,12,34,No,0,0,Geneva,34,Switzerland,Tradeaux,,Prague,,Czech Republic,Tradeaux,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,45.08,39997
180,Excavator Volvo EW240E MH,45,26,785,11,49,No,0,0,Geneva,34,Switzerland,Treeet,,Duisburg,,Germany,LKW,,Normal,Low bed,Yes,Yes,No,No,Nil,No,38.65,30938
166,Used Packaging,63,20,1217,17,40,No,0,0,Geneva,34,Switzerland,Sell Plan,,B.Bystrica,,Slovakia,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,25.91,32135
495,Wooden Beams,115,21,467,6,28,No,0,0,Geneva,34,Switzerland,Treeet,,Luxembourg,,Luxembourg,Sand Builders,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.06,13705
376,Smoked Sparts,131,17,540,8,4,No,0,0,Geneva,34,Switzerland,Posped,,Reims,,France,Kaarfor,,Urgent,Curtainsiders,No,No,No,No,Nil,No,33.15,18503
703,Pet Food,180,20,236,3,30,No,0,0,Geneva,34,Switzerland,Tradeaux,,Zurich,,Switzerland,Posped,,Normal,Container Chassis,No,No,No,No,Nil,No,21.22,5608
680,Ore,203,22,501,7,35,No,0,0,Geneva,34,Switzerland,Tradeaux,,Innsbruck,,Austria,RTLOG,,Normal,Bulk Carriers,No,No,No,No,Nil,No,12.92,7071
567,Coal,204,21,678,9,26,No,0,0,Geneva,34,Switzerland,Posped,,Liege,,Belgium,Stokes,,Very Urgent,Bulk Carriers,No,No,No,No,Nil,No,15.75,11279
186,Forklifts,3,11,785,12,3,No,0,0,Debrecen,20,Hungary,Sand Builders,,Salzburg,,Austria,Sand Builders,,Normal,Low bed,Yes,No,No,No,Nil,No,38.2,30588
7,Peas,8,18,2024,29,15,Yes,60,300,Debrecen,20,Hungary,Euro Acers,,Southampton,,England,Transinet,,Urgent,Curtainsiders,No,No,No,No,Nil,No,35.13,72013
437,Dry milk,36,18,481,7,50,No,0,0,Debrecen,20,Hungary,Euro Acers,,Lublin,,Poland,Kaarfor,,Urgent,Container Chassis,No,No,No,No,Nil,No,31.84,15913
51,Fuel Tanks,43,10,1168,16,51,No,0,0,Debrecen,20,Hungary,transinet,,Frankfurt,,Germany,Tradeaux,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,39.6,46771
108,Maple Syrup,80,17,1191,17,57,No,0,0,Debrecen,20,Hungary,transinet,,Milan,,Italy,Cargotras,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.83,37324
362,Pears,81,15,535,8,31,No,0,0,Debrecen,20,Hungary,transinet,,Garz,,Austria,LKW,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,34.66,19145
392,Non-alcoholic Beer,88,22,535,8,33,No,0,0,Debrecen,20,Hungary,Euro Goodies,,Garz,,Austria,LKW,,Urgent,Curtainsiders,No,No,No,No,Nil,No,31.84,17633
140,Large Tubes,100,22,928,13,24,No,0,0,Debrecen,20,Hungary,transinet,,Munich,,Germany,WGCC,,Very Urgent,Low bed,No,No,No,No,Nil,No,36.01,34012
588,Lamb Stomachs,170,13,349,5,16,No,0,0,Debrecen,20,Hungary,Euro Goodies,,B.Bystrica,,Slovakia,Euro Goodies,,Normal,Refrigerated,No,No,No,No,Nil,No,48.67,10607
352,Forklifts,3,11,590,7,13,No,0,0,Brno,11,Czech Republic,Trameri,,Szeged,,Hungary,Trameri,,Normal,Low bed,Yes,No,No,No,Nil,No,37.22,19545
568,Nylon Cord,24,23,338,5,14,No,0,0,Brno,11,Czech Republic,LKW,,Salzburg,,Austria,RTLOG,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,31.56,11267
217,Onions,38,17,777,11,22,No,0,0,Brno,11,Czech Republic,LKW,,Verona,,Italy,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,34.95,27753
129,Excavator Volvo EW240E MH,45,26,874,12,49,No,0,0,Brno,11,Czech Republic,LKW,,Duisburg,,Germany,LKW,,Normal,Low bed,Yes,Yes,No,No,Nil,No,39.64,35248
194,Truck Batteries,48,18,874,12,49,No,0,0,Brno,11,Czech Republic,LKW,,Duisburg,,Germany,LKW,,Normal,Curtainsiders,No,No,No,No,Nil,No,33.22,29638
279,Apples,51,20,702,10,13,No,0,0,Brno,11,Czech Republic,LKW,,Stuttgart,,Germany,FLE,,Urgent,Refrigerated,No,No,No,No,Nil,No,32.63,23504
390,Used Packaging,63,20,698,10,37,No,0,0,Brno,11,Czech Republic,Trameri,,Mannheim,,Germany,Transinet,,Normal,Curtainsiders,No,No,No,No,Nil,No,24.43,17649
628,Backhoe Loder,68,8,235,3,36,No,0,0,Brno,11,Czech Republic,Euro Acers,,Prague,,Czech Republic,Stein Brunch,,Normal,Low bed,Yes,No,No,No,Nil,No,35.42,8924
